Tissue	Spearman_rho_var/mean_dnds_mouse	p-value_var/mean_dnds_mouse	Spearman_rho_var/mean_dn_mouse	p-value_var/mean_dn_mouse	Spearman_rho_var/mean_ds_mouse	p-value_var/mean_ds_mouse	Spearman_rho_var_dnds_mouse	p-value_var_dnds_mouse	Spearman_rho_var_dn_mouse	p-value_var_dn_mouse	Spearman_rho_var_ds_mouse	p-value_rho_var_ds_mouse	Spearman_rho_mean_dnds_mouse	p-value_mean_dnds_mouse	Spearman_rho_mean_dn_mouse	p-value_mean_dn_mouse	Spearman_rho_mean_ds_mouse	p-value_mean_ds_mouse	Spearman_rho_var/mean_dnds_chimp	p-value_var/mean_dnds_chimp	Spearman_rho_var/mean_dn_chimp	p-value_var/mean_dn_chimp	Spearman_rho_var/mean_ds_chimp	p-value_var/mean_ds_chimp	Spearman_rho_var_dnds_chimp	p-value_var_dnds_chimp	Spearman_rho_var_dn_chimp	p-value_var_dn_chimp	Spearman_rho_var_ds_chimp	p-value_rho_var_ds_chimp	Spearman_rho_mean_dnds_chimp	p-value_mean_dnds_chimp	Spearman_rho_mean_dn_chimp	p-value_mean_dn_chimp	Spearman_rho_mean_ds_chimp	p-value_mean_ds_chimp
Brain_Cerebellar_Hemisphere	-0.339896126	0	-0.362931503	0	-0.129442786	4.25E-66	-0.384074901	0	-0.434236859	0	-0.208902352	1.32E-173	-0.391796944	0	-0.453463375	0	-0.243309129	1.18E-236	-0.25755019	1.72E-227	-0.241649782	1.22E-212	-0.027565431	0.000468666	-0.292009857	1.07E-297	-0.29254795	2.23965886047587e-318	-0.060546882	1.09E-14	-0.293611057	4.26E-301	-0.305427035	0	-0.079266832	4.29E-24
Brain_Cerebellum	-0.333127392	0	-0.335572836	0	-0.066044051	2.23E-18	-0.390052036	0	-0.42970851	0	-0.17810216	5.66E-126	-0.39543782	0	-0.452805171	0	-0.230004642	5.14E-211	-0.254749593	6.04E-223	-0.207450233	2.38E-156	0.030889076	8.70E-05	-0.297980306	1.72438769963355e-310	-0.279877697	1.87E-290	-0.026180127	0.00083995	-0.295966715	3.85E-306	-0.298823144	0	-0.062022242	2.43E-15
Brain_Cortex	-0.343686861	0	-0.344577496	0	-0.070599065	6.56E-21	-0.403364661	0	-0.435855566	0	-0.162892064	2.02E-105	-0.419221931	0	-0.467499849	0	-0.211987842	7.89E-179	-0.25680718	9.16E-228	-0.209518482	2.77E-160	0.037676347	1.60E-06	-0.306528387	0	-0.280328032	2.01E-291	-0.009883782	0.207491203	-0.313852377	0	-0.303798127	0	-0.043710057	2.45E-08
Brain_Frontal_Cortex_BA9	-0.364474981	0	-0.383075507	0	-0.124575209	2.12E-61	-0.409485964	0	-0.451959398	0	-0.195636663	4.32E-152	-0.423243721	0	-0.477645485	0	-0.232470146	1.20E-215	-0.278536231	9.04E-268	-0.254529662	7.83E-237	-0.011139888	0.157207954	-0.314402389	0	-0.303194382	0	-0.04182381	9.50E-08	-0.31812681	0	-0.317428945	0	-0.064101294	2.77E-16
Brain_Hippocampus	-0.357924474	0	-0.37715933	0	-0.122150621	4.57E-59	-0.396647887	0	-0.437740446	0	-0.186123517	1.35E-137	-0.406594489	0	-0.458979197	0	-0.219906865	1.28E-192	-0.263430679	1.80E-238	-0.23985363	1.43E-209	-0.007584713	0.335718157	-0.300581919	3.67648940582779e-316	-0.289045698	1.63524741973219e-310	-0.038032473	1.22E-06	-0.307650754	0	-0.306618532	0	-0.060232279	1.49E-14
Brain_Hypothalamus	-0.354596822	0	-0.375282068	0	-0.12845028	2.35E-65	-0.393432972	0	-0.43499434	0	-0.189512055	1.14E-142	-0.403099597	0	-0.456011431	0	-0.222416107	4.17E-197	-0.264332707	9.79E-241	-0.242936259	1.28E-215	-0.012043889	0.12589145	-0.299232758	3.26433838430066e-313	-0.290216375	3.95909736935254e-313	-0.042707086	5.07E-08	-0.305640006	0	-0.306920775	0	-0.065055716	9.96E-17
Brain_Nucleus_accumbens_basal_ganglia	-0.349415294	0	-0.371787518	0	-0.133810039	1.14E-70	-0.392191956	0	-0.437224887	0	-0.198293384	2.81E-156	-0.403924402	0	-0.458934398	0	-0.22769746	9.87E-207	-0.261094725	2.23E-234	-0.242262173	4.53E-214	-0.020585855	0.008944878	-0.298221141	5.17745928179224e-311	-0.292499842	2.87712211936608e-318	-0.049207688	3.40E-10	-0.304982185	0	-0.307508094	0	-0.066730475	1.60E-17
Brain_Putamen_basal_ganglia	-0.35789649	0	-0.382073491	0	-0.139234321	2.40E-76	-0.391290363	0	-0.435446309	0	-0.194582283	1.91E-150	-0.399855438	0	-0.452932229	0	-0.220520731	1.03E-193	-0.271090249	8.88E-253	-0.252458598	1.43E-232	-0.021026401	0.007625779	-0.302474068	2.53356863187391e-320	-0.294982748	0	-0.046472105	3.03E-09	-0.305270988	0	-0.305430163	0	-0.062300311	1.82E-15
Brain_Spinal_cord_cervical_c1	-0.309835991	0	-0.321536214	0	-0.084240869	6.84E-29	-0.35709519	0	-0.399175903	0	-0.174952772	1.47E-121	-0.364800022	0	-0.423790335	0	-0.227101525	1.24E-205	-0.242836843	5.63E-202	-0.210187763	2.24E-160	0.012133644	0.123466679	-0.282787394	1.55E-278	-0.276129733	1.79E-282	-0.04120714	1.46E-07	-0.286283546	1.03E-285	-0.299718483	0	-0.081124932	3.66E-25
Brain_Substantia_nigra	-0.370341327	0	-0.38680927	0	-0.119287736	2.70E-56	-0.394584802	0	-0.436914288	0	-0.187218783	3.17E-139	-0.388004233	0	-0.442966547	0	-0.221686492	8.51E-196	-0.276641529	2.04E-263	-0.247525968	3.80E-223	-0.001893279	0.810247067	-0.305076736	0	-0.294176936	4.54540394173947e-322	-0.039344359	5.18E-07	-0.299882903	1.24449837827424e-314	-0.305248045	0	-0.069342025	8.46E-19
