5sd	10sd	15sd	20sd	25sd	30sd	35sd	40sd
ENSG00000006283	0.140432875792531	0.0541321119947811	0.0451756658428988	0.0338897366212408	0.0306924644987189	0.0217653900598525	0.0165448760842788	0.0066452103435514
ENSG00000006327	0.139589866457766	0.0985396093689738	0.0737825510743622	0.0639257917929229	0.0400981647073355	0.0338571817206224	0.0167361645283115	0.00450021673909378
ENSG00000006377	0.150415202604634	0.102094476898482	0.076999113454896	0.0679329907699062	0.0570073889588132	0.0451673814646479	0.0355355279982344	0.0160929108595317
ENSG00000006432	0.128653987031692	0.0818378220281555	0.062925353465279	0.0395029956826785	0.030521887598573	0.0235606737455263	0.0156156141553455	0.00511489374260949
ENSG00000006451	0.139318734856185	0.113426949126294	0.094811734711427	0.0790893118249797	0.0578390744099375	0.0459033458865675	0.0297350719636234	0.011993280019419
ENSG00000006453	0.149379205702963	0.101231116606043	0.0761146885326003	0.0707226823699178	0.0630122184263237	0.0522702258283849	0.0380941370096766	0.0105878216386837
ENSG00000006459	0.119598494266869	0.0935224464745275	0.0713789372473545	0.0531672872669373	0.0333505316293735	0.0208662384562046	0.0170047001699671	0.00575510024959346
ENSG00000006468	0.132565926132602	0.0810425656067292	0.0722327275971071	0.062629675776679	0.050667452448201	0.0409652965718898	0.0261251984563179	0.0151400099238611
ENSG00000006530	0.129986678377757	0.110386433392293	0.112664737219596	0.105369082762599	0.0904971126245593	0.0853254434716524	0.0739385563203163	0.00285864667450543
ENSG00000006555	0.120440773228464	0.0680013995509878	0.0667753045682897	0.0475140977985385	0.041305244863241	0.0300705936720007	0.0231380420818238	0.00610811659724456
ENSG00000006576	0.199921758228468	0.150364136361639	0.146705358931843	0.10093233682012	0.0784181260369912	0.0583547509773442	0.0396679579700115	0.0144828319523043
ENSG00000006606	0.181822983762368	0.141271298357647	0.112953753470708	0.0880455857446598	0.0533798749010266	0.0148121507487946	0.021687907799758	0.00280200648654928
ENSG00000006607	0.13858946264116	0.0961620581542538	0.0868409176443458	0.0635678974277315	0.0576245876550941	0.0524415862928187	0.0463748236729587	0.0190591049546848
ENSG00000006611	0.143267640688239	0.0857626277068775	0.0383381254341071	0.0279248164466948	0.0204087902004287	0.0138618093761736	0.00808068283274021	0.00509209825442896
ENSG00000006625	0.130382139701319	0.0897731393076188	0.0677521060515689	0.051976151812013	0.0442341620356691	0.0400698482795607	0.0256890520737956	0.0110083623721703
ENSG00000006634	0.21691286018169	0.210347878860047	0.201025045346896	0.151622782954668	0.129674901445294	0.106558637186478	0.0778913906907636	0.00876521263204008
ENSG00000006638	0.160566414732704	0.125835662540221	0.106926200182963	0.0796718664723626	0.0427039472612442	0.034863229661729	0.0115048779770785	0.00511812647414822
ENSG00000006652	0.110844344336936	0.0958411583855143	0.0903777278078776	0.0878407177047403	0.0846967520500044	0.0737211177856344	0.059613293613007	0.0295318157972299
ENSG00000006695	0.186544083107142	0.144286180357578	0.118513668964996	0.0955028708431612	0.0645632202501905	0.0290195666293415	0.0196309505111762	0.00773330011203743
ENSG00000006704	0.129677550154222	0.108371459349959	0.104239908819698	0.089629797635203	0.0678443481827293	0.0410210298193883	0.0358532078289422	0.00589560203424468
ENSG00000006712	0.144500465273022	0.170553214275475	0.169550397755269	0.165407269010742	0.145987744736247	0.129324709009816	0.114678135093526	0.0501201394909563
ENSG00000006715	0.133144433962767	0.122706989522972	0.0893114620103104	0.0756490161999954	0.0619473270827985	0.0414622658550288	0.036212278098276	0.00604903468260823
ENSG00000006740	0.153789402276468	0.127569591792528	0.0866379445936969	0.0699247334739869	0.0514150153386526	0.0316983610429939	0.0217805508090442	0.00553500926295461
ENSG00000006744	0.110031521525288	0.0752716628986559	0.0621531993894636	0.0432089393296819	0.0328235323260626	0.0269712002554784	0.0232028114853578	0.0122736986628344
ENSG00000006747	0.129430161984148	0.0685167061308196	0.0515051453482161	0.03826616870623	0.0250122705293561	0.0216602490027828	0.0140574450392949	0.00605153803217979
ENSG00000006756	0.135053698892219	0.0849277699755904	0.0674237734388585	0.0632049438081086	0.0534227125070039	0.0442672993031409	0.0311635357329993	0.00888061087539825
ENSG00000006757	0.124816622389104	0.0814220344830123	0.0831885361206617	0.0807560389715561	0.0708444213601082	0.0562519205284829	0.0477393636551297	0.0280022346292364
ENSG00000006788	0.145167182741011	0.0911482588974213	0.0546881151120891	0.0389806617351966	0.0386226485475209	0.0210790130491342	0.0114848319910077	0.00247494923394507
ENSG00000006831	0.142428925557092	0.0878790725223599	0.0691577118813917	0.0581240670941416	0.0560246338015712	0.0384540692395181	0.0324308650319922	0.0175748226686575
ENSG00000006837	0.196581715466963	0.225281006193424	0.225566666482226	0.197270501222395	0.195626830781021	0.160548061393718	0.13736119386057	0.0620714026521659
ENSG00000007001	0.185214441548199	0.12135948788667	0.0946188233334922	0.0637289133406442	0.0271016995608609	0.0174542383470507	0.0149361108067348	0.00189488943917714
ENSG00000007038	0.145866065378839	0.106422762647979	0.100438675378684	0.0815920773917558	0.0513196759735083	0.0434879907698615	0.0195522849388677	0.00399101539772744
ENSG00000007047	0.157681949617129	0.164950155118016	0.164478292506171	0.156623934510948	0.140794646009255	0.120252124374422	0.108986473585689	0.0464974554574208
ENSG00000007062	0.13895137567317	0.0664825305295183	0.0564893444621365	0.0513149949451146	0.0427711262194703	0.0383343623736713	0.0293488405819363	0.0115562126405248
ENSG00000007080	0.0846537788054578	0.0659560245895884	0.0502131934052281	0.0304172812155023	0.0253445438364845	0.0168403190796137	0.0108147078194113	0.00310889159530804
ENSG00000007168	0.14381206959572	0.138076675706768	0.133045327365599	0.100825758382226	0.1114647854009	0.0699998235913877	0.0734209194588761	0.00425145555690639
ENSG00000007171	0.18790926290967	0.130367447402955	0.10144820090822	0.057143992130921	0.0427454688953408	0.0289411022756175	0.0195719641460526	0.0110165624184666
ENSG00000007174	0.130699144623657	0.0836710758221539	0.0572512981185228	0.0316662759181586	0.0297322397269142	0.0149590809912059	0.011368929778672	0.00428846290748022
ENSG00000007202	0.083327634744783	0.0750540988240468	0.0535778948579722	0.0389153569836621	0.0266760968672664	0.0210270456355315	0.0149538433131699	0.00339208425962087
ENSG00000007216	0.148237431217224	0.0580627477448472	0.0291731391041691	0.0187194188419002	0.0170755648629143	0.0150236622641353	0.0115766266416823	0.00684064924922423
ENSG00000007237	0.161968638573549	0.134289571796057	0.104183185544553	0.0922863928798981	0.0738509730710651	0.0482047586675987	0.012757466371268	0.00319501264978547
ENSG00000007255	0.1420890998976	0.103153649265675	0.0936724543432413	0.0892518961724931	0.0803157482100085	0.0758044525097018	0.0648530481465841	0.00359903849861814
ENSG00000007264	0.206286525776206	0.139675307581596	0.0972180639661957	0.0610892155999706	0.0409507921422649	0.0299114959235376	0.0127269915713531	0.0023294433104463
ENSG00000007306	0.136468566480777	0.0682371574784606	0.0390622900225694	0.028712371579972	0.0225927378390266	0.0172192287858694	0.0119266618030061	0.0106471250872795
ENSG00000007312	0.21917358246108	0.173043610838875	0.0844801805204513	0.0647781936037839	0.0212692630165273	0.0195641612532181	0.0137469776397207	0.0021173893644803
ENSG00000007314	0.165486618145264	0.104138335602064	0.0543205013558919	0.0327827816409839	0.0258986509712279	0.0174057776809346	0.0122484026723847	0.00701303591971057
ENSG00000007341	0.182090501336511	0.219176733380878	0.232781090255489	0.233116350614706	0.220538641671609	0.195666567957018	0.180081569921172	0.0784545205526332
ENSG00000007350	0.22609017231422	0.132678480873833	0.0681382461848501	0.0504155315230255	0.0294204485328126	0.0249214669887213	0.0159202935116773	0.00545542270413874
ENSG00000007372	0.162471874632486	0.0947929264615632	0.0624630573380696	0.03233400614074	0.0197116233830276	0.0144231222566179	0.00769904787425461	0.00220587953783348
ENSG00000007376	0.115265979057829	0.0865846384720863	0.0879790432322842	0.0743897157007033	0.0562241769704277	0.0502830959756297	0.0372753404653952	0.00854532713745198
ENSG00000007384	0.13843970661072	0.114870185801158	0.0996568303286902	0.0809842469231022	0.0774584217326912	0.0711477406672778	0.0487002539349555	0.0163016926979664
ENSG00000007392	0.144778215046051	0.0934514820065557	0.0749866697160934	0.0495571897864769	0.0369095824346826	0.0266889841459113	0.0214513149462241	0.008611922986378
